year,CPI_Fuel_ut
1/1/1953,22.1
2/1/1953,22.2
3/1/1953,22.3
4/1/1953,22.4
5/1/1953,22.4
6/1/1953,22.5
7/1/1953,22.5
8/1/1953,22.6
9/1/1953,22.7
10/1/1953,22.7
11/1/1953,22.7
12/1/1953,22.7
1/1/1954,22.6
2/1/1954,22.7
3/1/1954,22.7
4/1/1954,22.5
5/1/1954,22.5
6/1/1954,22.5
7/1/1954,22.5
8/1/1954,22.5
9/1/1954,22.5
10/1/1954,22.6
11/1/1954,22.7
12/1/1954,22.7
1/1/1955,22.7
2/1/1955,22.8
3/1/1955,22.8
4/1/1955,22.9
5/1/1955,23.1
6/1/1955,23.1
7/1/1955,23.1
8/1/1955,23.1
9/1/1955,23.2
10/1/1955,23.2
11/1/1955,23.3
12/1/1955,23.3
1/1/1956,23.4
2/1/1956,23.4
3/1/1956,23.4
4/1/1956,23.5
5/1/1956,23.6
6/1/1956,23.6
7/1/1956,23.7
8/1/1956,23.7
9/1/1956,23.7
10/1/1956,23.8
11/1/1956,23.9
12/1/1956,24
1/1/1957,24.1
2/1/1957,24.1
3/1/1957,24.1
4/1/1957,24.2
5/1/1957,24.3
6/1/1957,24.3
7/1/1957,24.4
8/1/1957,24.5
9/1/1957,24.5
10/1/1957,24.4
11/1/1957,24.5
12/1/1957,24.5
1/1/1958,24.6
2/1/1958,24.6
3/1/1958,24.7
4/1/1958,24.7
5/1/1958,24.7
6/1/1958,24.8
7/1/1958,24.8
8/1/1958,24.9
9/1/1958,25
10/1/1958,25
11/1/1958,25
12/1/1958,25
1/1/1959,25.1
2/1/1959,25.2
3/1/1959,25.3
4/1/1959,25.3
5/1/1959,25.3
6/1/1959,25.3
7/1/1959,25.4
8/1/1959,25.4
9/1/1959,25.5
10/1/1959,25.5
11/1/1959,25.5
12/1/1959,25.7
1/1/1960,25.7
2/1/1960,25.8
3/1/1960,25.8
4/1/1960,25.9
5/1/1960,25.9
6/1/1960,25.9
7/1/1960,25.9
8/1/1960,26
9/1/1960,26.1
10/1/1960,26.1
11/1/1960,26.1
12/1/1960,26.1
1/1/1961,26.1
2/1/1961,26.2
3/1/1961,26.3
4/1/1961,26.3
5/1/1961,26.3
6/1/1961,26.3
7/1/1961,26.3
8/1/1961,26.3
9/1/1961,26.2
10/1/1961,26.3
11/1/1961,26.3
12/1/1961,26.3
1/1/1962,26.3
2/1/1962,26.3
3/1/1962,26.3
4/1/1962,26.3
5/1/1962,26.3
6/1/1962,26.3
7/1/1962,26.3
8/1/1962,26.4
9/1/1962,26.3
10/1/1962,26.4
11/1/1962,26.4
12/1/1962,26.5
1/1/1963,26.4
2/1/1963,26.5
3/1/1963,26.5
4/1/1963,26.5
5/1/1963,26.5
6/1/1963,26.6
7/1/1963,26.6
8/1/1963,26.5
9/1/1963,26.6
10/1/1963,26.6
11/1/1963,26.7
12/1/1963,26.6
1/1/1964,26.6
2/1/1964,26.5
3/1/1964,26.6
4/1/1964,26.6
5/1/1964,26.7
6/1/1964,26.7
7/1/1964,26.7
8/1/1964,26.7
9/1/1964,26.7
10/1/1964,26.7
11/1/1964,26.7
12/1/1964,26.7
1/1/1965,26.7
2/1/1965,26.6
3/1/1965,26.6
4/1/1965,26.6
5/1/1965,26.6
6/1/1965,26.6
7/1/1965,26.6
8/1/1965,26.2
9/1/1965,26.7
10/1/1965,26.8
11/1/1965,26.8
12/1/1965,26.8
1/1/1966,26.3
2/1/1966,26.4
3/1/1966,26.4
4/1/1966,26.9
5/1/1966,26.9
6/1/1966,26.9
7/1/1966,26.9
8/1/1966,26.8
9/1/1966,26.9
10/1/1966,26.9
11/1/1966,26.9
12/1/1966,26.8
1/1/1967,27
2/1/1967,27
3/1/1967,27
4/1/1967,27
5/1/1967,27
6/1/1967,27
7/1/1967,27.1
8/1/1967,27.1
9/1/1967,27.2
10/1/1967,27.3
11/1/1967,27.1
12/1/1967,27.1
1/1/1968,27.2
2/1/1968,27.2
3/1/1968,27.3
4/1/1968,27.3
5/1/1968,27.4
6/1/1968,27.4
7/1/1968,27.5
8/1/1968,27.6
9/1/1968,27.5
10/1/1968,27.5
11/1/1968,27.7
12/1/1968,27.7
1/1/1969,27.7
2/1/1969,27.7
3/1/1969,27.8
4/1/1969,27.9
5/1/1969,27.9
6/1/1969,28
7/1/1969,28
8/1/1969,28.1
9/1/1969,28.2
10/1/1969,28.3
11/1/1969,28.4
12/1/1969,28.4
1/1/1970,28.4
2/1/1970,28.5
3/1/1970,28.6
4/1/1970,28.8
5/1/1970,28.9
6/1/1970,28.9
7/1/1970,29.2
8/1/1970,29.3
9/1/1970,29.5
10/1/1970,29.7
11/1/1970,30
12/1/1970,30.1
1/1/1971,30.3
2/1/1971,30.5
3/1/1971,30.7
4/1/1971,30.7
5/1/1971,30.9
6/1/1971,31
7/1/1971,31.3
8/1/1971,31.5
9/1/1971,31.6
10/1/1971,31.7
11/1/1971,31.7
12/1/1971,31.9
1/1/1972,32
2/1/1972,32.1
3/1/1972,32.2
4/1/1972,32.3
5/1/1972,32.4
6/1/1972,32.5
7/1/1972,32.6
8/1/1972,32.7
9/1/1972,32.8
10/1/1972,32.9
11/1/1972,33
12/1/1972,33
1/1/1973,33.1
2/1/1973,33.4
3/1/1973,33.5
4/1/1973,33.7
5/1/1973,33.8
6/1/1973,34
7/1/1973,34.1
8/1/1973,34.4
9/1/1973,34.5
10/1/1973,35.1
11/1/1973,35.8
12/1/1973,36.7
1/1/1974,37.9
2/1/1974,38.6
3/1/1974,38.9
4/1/1974,39.6
5/1/1974,40.1
6/1/1974,40.5
7/1/1974,41
8/1/1974,41.6
9/1/1974,42
10/1/1974,42.3
11/1/1974,42.6
12/1/1974,42.8
1/1/1975,43.4
2/1/1975,43.8
3/1/1975,44
4/1/1975,44.5
5/1/1975,44.8
6/1/1975,45.2
7/1/1975,45.4
8/1/1975,45.8
9/1/1975,46.4
10/1/1975,46.7
11/1/1975,47.4
12/1/1975,47.7
1/1/1976,48
2/1/1976,48.3
3/1/1976,48.4
4/1/1976,48.6
5/1/1976,48.7
6/1/1976,48.8
7/1/1976,49.1
8/1/1976,49.6
9/1/1976,50
10/1/1976,50.5
11/1/1976,51.4
12/1/1976,52.3
1/1/1977,53.3
2/1/1977,53.5
3/1/1977,53.9
4/1/1977,54.1
5/1/1977,54
6/1/1977,54.1
7/1/1977,54.5
8/1/1977,55
9/1/1977,55.4
10/1/1977,55.7
11/1/1977,56.8
12/1/1977,56.8
1/1/1978,56.7
2/1/1978,57.1
3/1/1978,57.5
4/1/1978,58
5/1/1978,58.3
6/1/1978,58.4
7/1/1978,58.4
8/1/1978,58.6
9/1/1978,58.8
10/1/1978,59.4
11/1/1978,59.6
