year,CPI_housing
1/1/1967,30.5
2/1/1967,30.5
3/1/1967,30.5
4/1/1967,30.6
5/1/1967,30.7
6/1/1967,30.7
7/1/1967,30.8
8/1/1967,30.9
9/1/1967,31
10/1/1967,31
11/1/1967,31.1
12/1/1967,31.2
1/1/1968,31.3
2/1/1968,31.4
3/1/1968,31.5
4/1/1968,31.6
5/1/1968,31.7
6/1/1968,31.9
7/1/1968,32.1
8/1/1968,32.3
9/1/1968,32.4
10/1/1968,32.5
11/1/1968,32.7
12/1/1968,32.9
1/1/1969,33
2/1/1969,33.1
3/1/1969,33.4
4/1/1969,33.6
5/1/1969,33.7
6/1/1969,33.9
7/1/1969,34.1
8/1/1969,34.3
9/1/1969,34.5
10/1/1969,34.7
11/1/1969,34.8
12/1/1969,35
1/1/1970,35.1
2/1/1970,35.4
3/1/1970,35.8
4/1/1970,35.9
5/1/1970,36.1
6/1/1970,36.3
7/1/1970,36.5
8/1/1970,36.6
9/1/1970,36.9
10/1/1970,37.1
11/1/1970,37.3
12/1/1970,37.4
1/1/1971,37.5
2/1/1971,37.5
3/1/1971,37.4
4/1/1971,37.4
5/1/1971,37.6
6/1/1971,37.9
7/1/1971,38.1
8/1/1971,38.2
9/1/1971,38.4
10/1/1971,38.5
11/1/1971,38.6
12/1/1971,38.7
1/1/1972,38.9
2/1/1972,39
3/1/1972,39
4/1/1972,39.1
5/1/1972,39.2
6/1/1972,39.4
7/1/1972,39.6
8/1/1972,39.7
9/1/1972,39.8
10/1/1972,39.8
11/1/1972,39.9
12/1/1972,40.1
1/1/1973,40.1
2/1/1973,40.2
3/1/1973,40.4
4/1/1973,40.5
5/1/1973,40.6
6/1/1973,40.9
7/1/1973,41
8/1/1973,41.3
9/1/1973,41.7
10/1/1973,42.1
11/1/1973,42.5
12/1/1973,42.8
1/1/1974,43.3
2/1/1974,43.6
3/1/1974,44.1
4/1/1974,44.4
5/1/1974,44.9
6/1/1974,45.4
7/1/1974,45.9
8/1/1974,46.5
9/1/1974,47.1
10/1/1974,47.7
11/1/1974,48.1
12/1/1974,48.6
1/1/1975,49
2/1/1975,49.4
3/1/1975,49.7
4/1/1975,50
5/1/1975,50.2
6/1/1975,50.5
7/1/1975,50.7
8/1/1975,51
9/1/1975,51.3
10/1/1975,51.5
11/1/1975,52
12/1/1975,52.3
1/1/1976,52.6
2/1/1976,52.8
3/1/1976,52.9
4/1/1976,53.1
5/1/1976,53.2
6/1/1976,53.5
7/1/1976,53.8
8/1/1976,54.1
9/1/1976,54.4
10/1/1976,54.6
11/1/1976,54.8
12/1/1976,55.1
1/1/1977,55.6
2/1/1977,55.9
3/1/1977,56.2
4/1/1977,56.5
5/1/1977,56.8
6/1/1977,57.1
7/1/1977,57.6
8/1/1977,57.9
9/1/1977,58.3
10/1/1977,58.6
11/1/1977,59
12/1/1977,59.4
1/1/1978,59.7
2/1/1978,60.1
3/1/1978,60.5
4/1/1978,61
5/1/1978,61.6
6/1/1978,62.1
7/1/1978,62.7
8/1/1978,63.1
9/1/1978,63.8
10/1/1978,64.5
11/1/1978,64.9
12/1/1978,65.2
1/1/1979,65.7
2/1/1979,66.5
3/1/1979,67
4/1/1979,67.7
5/1/1979,68.4
6/1/1979,69.3
7/1/1979,70.2
8/1/1979,71.2
9/1/1979,72.1
10/1/1979,73.1
11/1/1979,74.2
12/1/1979,75.2
1/1/1980,76.2
2/1/1980,77.2
3/1/1980,78.3
4/1/1980,79.4
5/1/1980,80.5
6/1/1980,82
7/1/1980,81.5
8/1/1980,81.8
9/1/1980,82.3
10/1/1980,83.4
11/1/1980,84.4
12/1/1980,85.5
1/1/1981,86.1
2/1/1981,86.6
3/1/1981,87.1
4/1/1981,87.8
5/1/1981,88.8
6/1/1981,89.8
7/1/1981,91.3
8/1/1981,92.2
9/1/1981,93.4
10/1/1981,93.4
11/1/1981,93.8
12/1/1981,94.1
1/1/1982,94.4
2/1/1982,94.7
3/1/1982,94.6
4/1/1982,95.4
5/1/1982,96.7
6/1/1982,97.7
7/1/1982,98.1
8/1/1982,98.4
9/1/1982,98.2
10/1/1982,98.6
11/1/1982,98.3
12/1/1982,97.5
1/1/1983,98
2/1/1983,98.2
3/1/1983,98.3
4/1/1983,98.9
5/1/1983,99.1
6/1/1983,99.3
7/1/1983,99.7
8/1/1983,99.8
9/1/1983,100.1
10/1/1983,100.4
11/1/1983,100.8
12/1/1983,101
1/1/1984,101.5
2/1/1984,102.1
3/1/1984,102.3
4/1/1984,102.9
5/1/1984,103.1
6/1/1984,103.3
7/1/1984,103.9
8/1/1984,104.2
9/1/1984,104.7
10/1/1984,104.9
11/1/1984,105.1
12/1/1984,105.3
1/1/1985,105.5
2/1/1985,106
3/1/1985,106.4
4/1/1985,106.7
5/1/1985,107.4
6/1/1985,107.6
7/1/1985,107.9
8/1/1985,108.3
9/1/1985,108.5
10/1/1985,108.9
11/1/1985,109.5
12/1/1985,109.8
1/1/1986,110.1
2/1/1986,110
3/1/1986,110.3
4/1/1986,110.4
5/1/1986,110.4
6/1/1986,110.9
7/1/1986,110.9
8/1/1986,111.1
9/1/1986,111.5
10/1/1986,111.6
11/1/1986,111.6
12/1/1986,111.9
1/1/1987,112.3
2/1/1987,112.7
3/1/1987,113
4/1/1987,113.5
5/1/1987,113.8
6/1/1987,114.1
7/1/1987,114.3
8/1/1987,114.9
9/1/1987,115.2
10/1/1987,115.5
11/1/1987,115.8
12/1/1987,116.1
1/1/1988,116.4
2/1/1988,116.8
3/1/1988,117.2
4/1/1988,117.6
5/1/1988,117.9
6/1/1988,118.3
7/1/1988,118.6
8/1/1988,119
9/1/1988,119.5
10/1/1988,119.9
11/1/1988,120.2
12/1/1988,120.6
1/1/1989,120.9
2/1/1989,121.1
3/1/1989,121.5
4/1/1989,121.9
5/1/1989,122.3
6/1/1989,122.7
7/1/1989,123.3
8/1/1989,123.7
9/1/1989,123.8
10/1/1989,124.5
11/1/1989,124.9
12/1/1989,125.4
1/1/1990,126.1
2/1/1990,126.2
3/1/1990,126.8
4/1/1990,127.1
5/1/1990,127.3
6/1/1990,128.1
7/1/1990,128.7
8/1/1990,129.7
9/1/1990,130.2
10/1/1990,130.6
11/1/1990,130.8
12/1/1990,131
1/1/1991,132
2/1/1991,132.4
3/1/1991,132.6
4/1/1991,132.7
5/1/1991,133.1
6/1/1991,133.2
7/1/1991,133.6
8/1/1991,133.8
9/1/1991,134.3
10/1/1991,134.7
11/1/1991,135.2
12/1/1991,135.6
1/1/1992,135.9
2/1/1992,136.1
3/1/1992,136.4
4/1/1992,136.7
5/1/1992,136.9
6/1/1992,137.4
7/1/1992,137.7
8/1/1992,137.9
9/1/1992,138.1
10/1/1992,138.6
11/1/1992,139
12/1/1992,139.2
1/1/1993,139.6
2/1/1993,139.6
3/1/1993,140
4/1/1993,140.6
5/1/1993,140.8
6/1/1993,141.2
7/1/1993,141.3
8/1/1993,141.7
9/1/1993,142
10/1/1993,142.3
11/1/1993,142.6
12/1/1993,143
1/1/1994,143.2
2/1/1994,143.7
3/1/1994,144.1
4/1/1994,144
5/1/1994,144.4
6/1/1994,144.6
7/1/1994,144.8
8/1/1994,145.3
9/1/1994,145.5
10/1/1994,145.7
11/1/1994,146
12/1/1994,146
1/1/1995,146.6
2/1/1995,146.9
3/1/1995,147.2
4/1/1995,147.6
5/1/1995,147.9
6/1/1995,148.2
7/1/1995,148.6
8/1/1995,149
9/1/1995,149.2
10/1/1995,149.8
11/1/1995,150
12/1/1995,150.3
1/1/1996,150.9
2/1/1996,151.2
3/1/1996,151.6
4/1/1996,151.9
5/1/1996,152.3
6/1/1996,152.4
7/1/1996,153
8/1/1996,153.4
9/1/1996,153.7
10/1/1996,154
11/1/1996,154.4
12/1/1996,154.7
1/1/1997,155.3
2/1/1997,155.7
3/1/1997,155.7
4/1/1997,156
5/1/1997,156.2
6/1/1997,156.6
7/1/1997,156.9
8/1/1997,157.1
9/1/1997,157.5
10/1/1997,157.8
11/1/1997,158.3
12/1/1997,158.4
1/1/1998,158.7
2/1/1998,158.8
3/1/1998,159.2
4/1/1998,159.6
5/1/1998,160
6/1/1998,160.2
7/1/1998,160.5
8/1/1998,160.8
9/1/1998,161.1
10/1/1998,161.5
11/1/1998,161.9
12/1/1998,162.2
1/1/1999,162.2
2/1/1999,162.4
3/1/1999,162.7
4/1/1999,163.1
5/1/1999,163.3
6/1/1999,163.6
7/1/1999,164
8/1/1999,164.3
9/1/1999,164.9
10/1/1999,165.1
11/1/1999,165.5
12/1/1999,165.7
1/1/2000,166.5
2/1/2000,167.3
3/1/2000,167.7
4/1/2000,167.9
5/1/2000,168.3
6/1/2000,169.2
7/1/2000,169.9
8/1/2000,170.2
9/1/2000,171.1
10/1/2000,171.8
11/1/2000,172.2
12/1/2000,172.8
1/1/2001,174.5
2/1/2001,174.9
3/1/2001,175.3
4/1/2001,175.4
5/1/2001,176.1
6/1/2001,176.8
7/1/2001,176.8
8/1/2001,177.1
9/1/2001,177
10/1/2001,176.9
11/1/2001,177.5
12/1/2001,177.9
1/1/2002,178.3
2/1/2002,178.7
3/1/2002,179
4/1/2002,179.5
5/1/2002,179.8
6/1/2002,180
7/1/2002,180.2
8/1/2002,180.7
9/1/2002,181.1
10/1/2002,181.5
11/1/2002,182
12/1/2002,182.3
1/1/2003,182.9
2/1/2003,183.4
3/1/2003,184.2
4/1/2003,184
5/1/2003,184.6
6/1/2003,184.6
7/1/2003,184.9
8/1/2003,185.2
9/1/2003,185.5
10/1/2003,185.9
11/1/2003,186
12/1/2003,186.4
1/1/2004,186.9
2/1/2004,187.1
3/1/2004,187.7
4/1/2004,188.3
5/1/2004,188.9
6/1/2004,189.5
7/1/2004,189.9
8/1/2004,190.3
9/1/2004,190.8
10/1/2004,191.2
11/1/2004,191.8
12/1/2004,192.1
1/1/2005,192.3
2/1/2005,193
3/1/2005,193.9
4/1/2005,194.3
5/1/2005,194.6
6/1/2005,194.6
7/1/2005,195.4
8/1/2005,195.9
9/1/2005,196.8
10/1/2005,198.7
11/1/2005,199.5
12/1/2005,199.6
1/1/2006,200.5
2/1/2006,200.8
3/1/2006,201.2
4/1/2006,201.6
5/1/2006,202.3
6/1/2006,202.8
7/1/2006,203.4
8/1/2006,204.1
9/1/2006,204.7
10/1/2006,204.8
11/1/2006,205.5
12/1/2006,206.2
1/1/2007,206.788
2/1/2007,207.536
3/1/2007,208.119
4/1/2007,208.518
5/1/2007,208.883
6/1/2007,209.561
7/1/2007,209.743
8/1/2007,210.004
9/1/2007,210.5
10/1/2007,211.057
11/1/2007,211.864
12/1/2007,212.418
1/1/2008,212.873
2/1/2008,213.377
3/1/2008,214.422
4/1/2008,214.997
5/1/2008,215.866
6/1/2008,216.864
7/1/2008,218.014
8/1/2008,218.053
9/1/2008,217.836
10/1/2008,217.705
11/1/2008,217.585
12/1/2008,217.469
1/1/2009,217.631
2/1/2009,217.563
3/1/2009,217.458
4/1/2009,217.304
5/1/2009,216.99
6/1/2009,216.955
7/1/2009,216.581
8/1/2009,216.729
9/1/2009,216.68
10/1/2009,216.942
11/1/2009,216.962
12/1/2009,216.899
1/1/2010,216.206
2/1/2010,216.042
3/1/2010,216.146
4/1/2010,216.092
5/1/2010,216.128
6/1/2010,216.06
7/1/2010,216.214
8/1/2010,216.254
9/1/2010,216.234
10/1/2010,216.359
11/1/2010,216.484
12/1/2010,216.823
1/1/2011,217.061
2/1/2011,217.443
3/1/2011,217.794
4/1/2011,218.186
5/1/2011,218.521
6/1/2011,218.808
7/1/2011,219.386
8/1/2011,219.802
9/1/2011,220.152
10/1/2011,220.447
11/1/2011,220.685
12/1/2011,220.966
1/1/2012,221.096
2/1/2012,221.299
3/1/2012,221.579
4/1/2012,221.992
5/1/2012,222.069
6/1/2012,222.319
7/1/2012,222.508
8/1/2012,223.031
9/1/2012,223.463
10/1/2012,223.949
11/1/2012,224.504
12/1/2012,224.757
1/1/2013,225.106
2/1/2013,225.58
3/1/2013,225.769
4/1/2013,226.299
5/1/2013,226.949
6/1/2013,227.324
7/1/2013,227.579
8/1/2013,227.911
9/1/2013,228.354
10/1/2013,228.584
11/1/2013,229.119
12/1/2013,229.623
1/1/2014,230.52
2/1/2014,231.084
3/1/2014,232.119
4/1/2014,232.014
5/1/2014,232.785
6/1/2014,233.117
7/1/2014,233.695
8/1/2014,233.928
